participant,merge_count,time_taken,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous,Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
"ARAUS_00288, ARAUS_00658, ARAUS_00223",3,55.588,3.3333333333333335,4.333333333333333,2.3333333333333335,5.0,2.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.2833333333333334,1.8333333333333333,17.633333333333333,36.6,0.028733333333333333,0.14466666666666664,0.03676666666666666,0.09150000000000001,0.363,1.5133333333333334
"ARAUS_00082, ARAUS_00302, ARAUS_00597",3,60.92366666666666,3.0,4.666666666666667,3.3333333333333335,5.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.3333333333333333,1.4000000000000001,1.6666666666666667,21.233333333333334,30.46666666666667,0.015366666666666667,0.12833333333333333,0.0338,0.08773333333333333,0.1057,1.1766666666666667
"ARAUS_00330, ARAUS_00095",2,56.0195,4.0,4.5,2.5,5.0,1.0,2.0,2.5,1.0,1.39,1.9649999999999999,19.3,29.85,0.0398,0.13,0.0343,0.08735,0.191,1.83
"ARAUS_00555, ARAUS_00130",2,57.0615,4.5,3.5,3.5,5.0,1.0,1.5,2.0,1.5,1.31,1.95,17.45,26.9,0.07185,0.14350000000000002,0.03195,0.06405,0.246,2.215
"ARAUS_00186, ARAUS_00446",2,91.9685,4.0,4.5,3.0,5.0,1.5,2.5,4.0,1.5,1.18,1.645,18.45,27.85,0.02385,0.135,0.0368,0.08315,0.08315,0.69
"ARAUS_00417, ARAUS_00677",2,61.2625,3.0,4.5,3.5,5.0,1.0,1.5,3.5,1.5,1.45,2.95,29.8,59.400000000000006,0.0751,0.193,0.0586,0.472,0.7825,4.12
"ARAUS_00327, ARAUS_00082",2,61.429500000000004,3.0,5.0,4.0,5.0,1.0,1.5,3.0,1.0,1.6,2.1550000000000002,27.95,43.4,0.035750000000000004,0.1045,0.036199999999999996,0.11649999999999999,0.573,3.6799999999999997
"ARAUS_00658, ARAUS_00298",2,58.772999999999996,2.5,4.0,3.5,5.0,1.5,3.0,2.0,1.5,1.2,1.61,21.299999999999997,29.65,0.052950000000000004,0.1985,0.03775,0.0821,0.2745,1.605
"ARAUS_00584, ARAUS_00404",2,62.438500000000005,4.0,5.0,3.5,5.0,1.0,1.5,3.5,2.5,1.505,2.41,24.55,40.7,0.02615,0.125,0.032600000000000004,0.1195,0.2765,3.545
"ARAUS_00219, ARAUS_00359",2,68.387,4.0,4.0,3.0,5.0,1.5,2.0,2.0,1.5,1.8199999999999998,2.135,29.049999999999997,38.25,0.0121,0.139,0.03175,0.05995,0.11745,1.67
"ARAUS_00125, ARAUS_00280",2,40.111000000000004,4.0,4.5,1.5,5.0,1.5,4.0,2.0,1.5,1.2349999999999999,1.525,17.15,23.15,0.0236,0.1255,0.02835,0.08245,0.4405,1.45
"ARAUS_00256, ARAUS_00326",2,52.932,4.0,4.5,1.5,5.0,1.0,3.0,2.5,2.0,1.4649999999999999,1.875,23.15,41.45,0.06035,0.16849999999999998,0.036199999999999996,0.22849999999999998,1.0075,4.279999999999999
"ARAUS_00022, ARAUS_00592",2,53.52,2.5,4.0,3.5,5.0,2.0,2.0,4.0,2.0,1.4,2.05,22.0,34.05,0.044300000000000006,0.1395,0.066,0.3405,0.3785,2.505
"ARAUS_00117, ARAUS_00492",2,44.538,2.5,4.5,4.5,5.0,1.0,1.0,3.5,1.5,1.2349999999999999,1.5750000000000002,24.4,42.35,0.0215,0.1245,0.04745,0.123,0.267,2.21
"ARAUS_00055, ARAUS_00475",2,41.6435,1.5,4.5,4.0,5.0,1.0,1.0,4.5,1.0,2.08,2.325,24.700000000000003,37.35,0.02615,0.1055,0.027299999999999998,0.07295,0.243,1.465
"ARAUS_00667, ARAUS_00387",2,73.2335,1.5,4.5,3.5,5.0,1.0,1.0,5.0,1.0,1.455,1.905,21.4,33.45,0.02065,0.12,0.03705,0.0765,0.10414999999999999,1.22
"ARAUS_00678, ARAUS_00223",2,53.1945,5.0,4.5,1.5,5.0,2.0,3.5,1.5,1.5,1.4249999999999998,1.87,22.4,31.45,0.075,0.1385,0.039650000000000005,0.1215,0.563,1.995
"ARAUS_00018, ARAUS_00678",2,79.499,3.0,5.0,2.5,5.0,1.5,2.5,3.0,1.5,1.7,2.27,28.299999999999997,43.55,0.056749999999999995,0.161,0.034699999999999995,0.151,0.4555,1.8050000000000002
"ARAUS_00208, ARAUS_00378",2,55.467999999999996,4.5,4.5,1.5,5.0,1.5,3.5,2.5,1.5,1.4300000000000002,1.955,24.0,40.35,0.0334,0.1255,0.035,0.1039,0.3065,1.67
"ARAUS_00406, ARAUS_00621",2,52.1185,5.0,4.0,1.0,5.0,2.5,5.0,1.0,2.5,1.0750000000000002,1.805,6.28,12.95,0.01729,0.0915,0.026000000000000002,0.06865,0.09505,1.4065
ARAUS_00514,1,55.22,5.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.33,1.61,13.6,19.6,0.039,0.122,0.0277,0.0669,0.226,0.869
ARAUS_00230,1,36.4,5.0,2.0,1.0,5.0,4.0,5.0,1.0,1.0,1.09,1.72,7.19,11.5,0.0255,0.109,0.0319,0.198,0.36,1.39
ARAUS_00155,1,57.984,4.0,4.0,2.0,5.0,1.0,3.0,2.0,1.0,1.43,2.09,18.3,30.4,0.0508,0.128,0.0314,0.0894,0.295,2.23
ARAUS_00190,1,49.111,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,1.42,2.33,18.2,34.9,0.0956,0.246,0.0376,0.119,0.269,2.33
ARAUS_00185,1,38.455,4.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,1.32,1.95,17.8,26.6,0.0456,0.117,0.0318,0.0831,0.524,2.37
ARAUS_00330,1,48.673,4.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,1.41,1.91,18.9,27.4,0.0315,0.111,0.0309,0.0663,0.168,2.05
ARAUS_00271,1,35.953,5.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.43,1.8,16.2,19.8,0.0242,0.11,0.0292,0.059,0.12,0.685
ARAUS_00186,1,57.328,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,1.21,1.66,14.8,20.1,0.0264,0.12,0.0306,0.0704,0.177,1.05
ARAUS_00261,1,62.419,4.0,5.0,2.0,5.0,1.0,4.0,1.0,1.0,1.38,2.97,16.2,38.8,0.0446,0.151,0.0436,0.301,0.31,2.55
ARAUS_00436,1,63.752,5.0,5.0,3.0,5.0,1.0,3.0,2.0,1.0,1.25,1.95,15.3,23.9,0.0349,0.121,0.0312,0.0782,0.153,0.921
ARAUS_00281,1,49.224,5.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,1.22,1.66,15.1,20.2,0.0311,0.113,0.0306,0.0787,0.332,1.62
ARAUS_00148,1,48.882,4.0,1.0,1.0,5.0,2.0,5.0,2.0,4.0,1.12,1.5,15.2,19.4,0.0154,0.111,0.0314,0.0752,0.275,1.26
ARAUS_00404,1,48.816,2.0,4.0,4.0,5.0,2.0,1.0,4.0,2.0,1.21,1.7,19.7,27.5,0.0183,0.13,0.035,0.094,0.145,1.76
ARAUS_00524,1,44.045,1.0,5.0,5.0,5.0,1.0,2.0,5.0,2.0,1.32,1.56,22.1,30.1,0.0125,0.136,0.0331,0.0684,0.0829,0.731
ARAUS_00387,1,57.584,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.18,1.69,24.8,39.6,0.048,0.187,0.0433,0.103,0.731,4.12
ARAUS_00007,1,97.229,4.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,1.23,2.29,25.3,39.6,0.048,0.195,0.0434,0.102,0.712,4.12
ARAUS_00002,1,82.227,2.0,5.0,3.0,5.0,1.0,2.0,1.0,1.0,1.3,1.91,26.5,41.8,0.0523,0.176,0.0413,0.098,0.692,3.96
ARAUS_00282,1,60.016,2.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.28,1.78,26.4,40.9,0.0495,0.186,0.0546,0.183,0.744,4.12
ARAUS_00307,1,41.562,4.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,1.22,2.03,26.1,50.5,0.0828,0.351,0.0443,0.102,0.852,4.76
ARAUS_00017,1,32.712,4.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,1.23,1.47,27.3,41.0,0.0377,0.154,0.0486,0.131,0.539,3.74
ARAUS_00167,1,92.24,2.0,5.0,3.0,5.0,1.0,1.0,3.0,2.0,1.91,2.23,38.2,47.7,0.032,0.188,0.0337,0.0732,0.477,3.44
ARAUS_00232,1,42.917,3.0,5.0,4.0,5.0,1.0,2.0,2.0,1.0,1.22,1.67,24.2,48.6,0.0449,0.11,0.0415,0.12,0.699,3.88
ARAUS_00117,1,43.77,2.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.26,1.86,25.5,43.7,0.0657,0.211,0.0408,0.124,0.927,4.78
